feature,importance
power_per_year,0.5670554874784556
v_8,0.12214441680498427
v_12,0.06969023956569412
v_3,0.04661509609653923
v_0,0.030477258777664218
v_10,0.02421928573902424
brand_age,0.02221852340281314
v_13,0.018647548005124512
v_6,0.01409249767837535
v_5,0.01146680503983895
brand_model,0.010757313904819519
brand_bodyType,0.010619362277018226
v_11,0.006423000530095603
v_1,0.00547955220682303
power_clipped,0.005447418834193145
v_2,0.0035884947727518983
car_age_sq,0.0029564265676880193
body_fuel,0.0029218874195120117
v_4,0.002839675997015771
reg_year,0.002821523792815265
v_9,0.002786479918566214
power_km_ratio,0.0025757939329599687
power_log,0.0022396668648045257
bodyType,0.002158405967044831
brand,0.0011563274333383292
v_14,0.0011445675720425882
kilometer_bin,0.0010309632126276741
power,0.0009250347888210481
car_age_now,0.0008726303873083926
kilometer,0.000829036914553047
regionCode,0.0008031600955798475
usage_intensity,0.0007866450485401202
fuel_gear,0.00048534664148583976
brand_fuel,0.0002742456019515074
car_age,0.0002708790534237074
car_age_months,0.00026666446261074545
age_group,0.00024925269412145253
fuelType,0.00020900783546491571
reg_month,0.00018992560301814323
is_old_car,0.00018946955610950832
listing_days,6.069266976793265e-05
model,1.3988854613234439e-05
is_new_car,0.0
is_almost_new,0.0
create_day,0.0
is_high_power,0.0
power_bin,0.0
reg_is_late_year,0.0
reg_is_early_year,0.0
reg_decade,0.0
create_quarter,0.0
reg_quarter,0.0
create_month,0.0
create_year,0.0
reg_day,0.0
v_7,0.0
offerType,0.0
seller,0.0
gearbox,0.0
region_province,0.0
